word_id,sentence_id,sentence,context,word,label,special_tags,is_correct,corrected_label,corrected_special_tags,is_dirty,notes
1,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Matapos ang matagumpay,Matapos,FIL,,TRUE,,,,
2,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Matapos ang matagumpay na,ang,FIL,,TRUE,,,,
3,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Matapos ang matagumpay na mga,matagumpay,FIL,,TRUE,,,,
4,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",ang matagumpay na mga konsultasyon,na,FIL,,TRUE,,,,
5,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",matagumpay na mga konsultasyon kasama,mga,FIL,,TRUE,,,,
6,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",na mga konsultasyon kasama ang,konsultasyon,FIL,,TRUE,,,,
7,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",mga konsultasyon kasama ang pro,kasama,FIL,,TRUE,,,,
8,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",konsultasyon kasama ang pro sports,ang,FIL,,TRUE,,,,
9,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",kasama ang pro sports stakeholders,pro,ENG,,TRUE,,,,
10,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .","ang pro sports stakeholders ,",sports,ENG,,TRUE,,,,
11,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .","pro sports stakeholders , papayagan",stakeholders,ENG,,TRUE,,,,
12,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .","sports stakeholders , papayagan na",",",SYM,,TRUE,,,,
13,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .","stakeholders , papayagan na muli",papayagan,FIL,,TRUE,,,,
14,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",", papayagan na muli ang",na,FIL,,TRUE,,,,
15,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",papayagan na muli ang training,muli,FIL,,TRUE,,,,
16,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",na muli ang training activities,ang,FIL,,TRUE,,,,
17,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",muli ang training activities sa,training,ENG,,TRUE,,,,
18,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",ang training activities sa mga,activities,ENG,,TRUE,,,,
19,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",training activities sa mga Games,sa,FIL,,TRUE,,,,
20,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",activities sa mga Games and,mga,FIL,,TRUE,,,,
21,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",sa mga Games and Amusement,Games,ENG,NE,TRUE,,,,
22,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",mga Games and Amusement Board-regulated,and,ENG,,TRUE,,,,
23,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Games and Amusement Board-regulated sports,Amusement,ENG,NE,TRUE,,,,
24,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",and Amusement Board-regulated sports ngayong,Board-regulated,ENG,,TRUE,,,,
25,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Amusement Board-regulated sports ngayong taon,sports,ENG,,TRUE,,,,
26,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Board-regulated sports ngayong taon sa,ngayong,FIL,,TRUE,,,,
27,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",sports ngayong taon sa pahintulot,taon,FIL,,TRUE,,,,
28,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",ngayong taon sa pahintulot nina,sa,FIL,,TRUE,,,,
29,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",taon sa pahintulot nina GAB,pahintulot,FIL,,TRUE,,,,
30,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",sa pahintulot nina GAB Chairman,nina,FIL,,TRUE,,,,
31,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",pahintulot nina GAB Chairman Abraham,GAB,ENG,ABB_NE,TRUE,,,,
32,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",nina GAB Chairman Abraham Kahlil,Chairman,ENG,,TRUE,,,,
33,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",GAB Chairman Abraham Kahlil Mitra,Abraham,UNK,NE,TRUE,,,,
34,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .","Chairman Abraham Kahlil Mitra ,",Kahlil,UNK,NE,TRUE,,,,
35,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .","Abraham Kahlil Mitra , at",Mitra,UNK,NE,TRUE,,,,
36,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .","Kahlil Mitra , at Commissioners",",",SYM,,TRUE,,,,
37,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .","Mitra , at Commissioners Ed",at,FIL,,TRUE,,,,
38,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",", at Commissioners Ed Trinidad",Commissioners,ENG,,TRUE,,,,
39,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",at Commissioners Ed Trinidad at,Ed,UNK,NE,TRUE,,,,
40,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Commissioners Ed Trinidad at Mar,Trinidad,UNK,NE,TRUE,,,,
41,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Ed Trinidad at Mar Masanguid,at,FIL,,TRUE,,,,
42,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Trinidad at Mar Masanguid .,Mar,UNK,NE,TRUE,,,,
43,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",at Mar Masanguid .,Masanguid,UNK,NE,TRUE,,,,
44,0,"Matapos ang matagumpay na mga konsultasyon kasama ang pro sports stakeholders , papayagan na muli ang training activities sa mga Games and Amusement Board-regulated sports ngayong taon sa pahintulot nina GAB Chairman Abraham Kahlil Mitra , at Commissioners Ed Trinidad at Mar Masanguid .",Mar Masanguid .,.,SYM,,TRUE,,,,
